[2026-06-01T14:29:46.844Z] GET http://localhost:3000/login → 200 (218ms, ?B)
[2026-06-01T14:29:47.086Z] GET http://localhost:3000/_next/static/media/06ac09dcb8ec7d56-s.p.woff2?v=1780324186877 → pending (?ms, ?B)
[2026-06-01T14:29:47.086Z] GET http://localhost:3000/_next/static/media/16fe2f5beb07e519-s.p.woff2?v=1780324186877 → pending (?ms, ?B)
[2026-06-01T14:29:47.086Z] GET http://localhost:3000/_next/static/media/422bb7078d9b61dc-s.p.woff2?v=1780324186877 → pending (?ms, ?B)
[2026-06-01T14:29:47.086Z] GET http://localhost:3000/_next/static/media/a7358d2e3dd919a9-s.p.woff2?v=1780324186877 → pending (?ms, ?B)
[2026-06-01T14:29:47.087Z] GET http://localhost:3000/_next/static/media/dece0821e8ed059f-s.p.woff2?v=1780324186877 → pending (?ms, ?B)
[2026-06-01T14:29:47.115Z] GET http://localhost:3000/_next/image?url=%2FHero.png&w=64&q=75 → pending (?ms, ?B)
[2026-06-01T14:29:47.115Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1780324186877 → 200 (6ms, ?B)
[2026-06-01T14:29:47.115Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1780324186877 → pending (?ms, ?B)
[2026-06-01T14:29:47.116Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1780324186877 → pending (?ms, ?B)
[2026-06-01T14:29:47.116Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → pending (?ms, ?B)
[2026-06-01T14:29:47.116Z] GET http://localhost:3000/_next/static/chunks/app/error.js → pending (?ms, ?B)
[2026-06-01T14:29:47.116Z] GET http://localhost:3000/_next/static/chunks/app/login/page.js → pending (?ms, ?B)
[2026-06-01T14:29:47.116Z] GET http://localhost:3000/_next/static/chunks/app/layout.js → pending (?ms, ?B)
[2026-06-01T14:29:47.116Z] GET http://localhost:3000/_next/static/chunks/app/not-found.js → pending (?ms, ?B)
[2026-06-01T14:29:47.291Z] GET http://localhost:3000/_next/static/media/a7358d2e3dd919a9-s.p.woff2 → 200 (16ms, 45712B)
[2026-06-01T14:29:48.200Z] GET http://localhost:3000/_next/static/chunks/_app-pages-browser_node_modules_tanstack_query-devtools_build_DevtoolsComponent_VKXKX7EQ_js.js → 200 (812ms, 1289332B)
[2026-06-01T14:30:07.802Z] POST http://localhost:3000/login → pending (?ms, ?B)
[2026-06-01T14:30:08.220Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (26ms, 28356B)
[2026-06-01T14:30:08.345Z] GET http://localhost:3000/_next/static/chunks/app/admin/error.js → 200 (34ms, 415835B)
[2026-06-01T14:30:08.356Z] GET http://localhost:3000/_next/static/chunks/app/admin/dashboard/page.js → 200 (27ms, 179850B)
[2026-06-01T14:30:08.356Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1780324208136 → 200 (11ms, 164688B)
[2026-06-01T14:30:08.378Z] GET http://localhost:3000/_next/static/chunks/app/admin/layout.js → pending (?ms, ?B)
